,LAeq,6.3 Hz,8 Hz,10 Hz,12.5 Hz,16 Hz,20 Hz,25 Hz,31.5 Hz,40 Hz,50 Hz,63 Hz,80 Hz,100 Hz,125 Hz,160 Hz,200 Hz,250 Hz,315 Hz,400 Hz,500 Hz,630 Hz,800 Hz,1 kHz,1.25 kHz,1.6 kHz,2 kHz,2.5 kHz,3.15 kHz,4 kHz,5 kHz,6.3 kHz,8 kHz,10 kHz,12.5 kHz,16 kHz,20 kHz
2023-03-25 16:15:00,44.115902,30.052292,33.62453,37.256634,41.080208,43.190033,45.157814,43.487293,44.66993,45.904827,44.296528,39.832256,38.849358,41.542152,40.41559,39.047222,41.64132,36.38486,35.90802,34.377083,35.037415,34.6908,34.68823,35.05158,33.07441,30.887396,28.967587,26.13085,23.815893,22.576128,21.120417,15.485547,10.193108,6.4778624,7.036011,8.599028,9.403507
2023-03-25 16:30:00,45.529133,29.221128,32.55153,36.13972,39.861233,42.01993,43.225174,41.92521,43.054165,44.000103,41.024307,36.839306,35.54408,37.283802,35.518906,36.636284,40.26545,34.820503,34.409515,34.516666,36.496494,35.248264,35.285572,35.74585,33.38151,31.604445,32.026546,31.65427,30.480381,29.176857,25.705946,19.20504,13.257357,7.1784854,6.9751606,8.574166,9.427821
2023-03-25 16:45:00,46.53038,28.668047,32.35434,36.241093,40.329807,42.587883,43.852394,43.992672,44.41479,45.041492,42.824097,39.231476,37.249756,38.810818,38.614254,38.48705,40.328716,36.13915,35.599514,35.6104,36.61283,35.756943,35.75524,36.701477,34.83762,32.68467,32.121128,32.32585,32.317047,31.19618,27.326084,19.76718,13.311445,7.275564,7.489991,8.6531515,9.471598
2023-03-25 17:00:00,47.600174,29.754652,33.279324,37.10106,40.83785,42.99917,43.852394,43.299828,44.558853,45.26896,42.631702,38.57104,36.718525,39.22224,39.91238,40.44717,41.44691,37.065624,37.48505,37.82474,38.295208,37.50177,37.60163,38.353195,36.54901,34.5913,33.286804,31.274393,29.48203,27.625885,22.871094,15.958389,10.086888,6.7446375,7.002066,8.613237,9.459687
2023-03-25 17:15:00,47.80427,29.193039,32.773766,36.805035,40.812084,43.505486,44.35698,43.167084,44.123474,44.257397,42.092327,38.849304,37.74007,39.939705,39.04094,38.932846,43.77007,37.453228,36.317223,36.794064,40.409218,38.00328,36.777622,37.580814,36.06708,33.833282,32.175297,29.31448,27.2117,26.232258,22.826675,16.75464,10.283069,6.484193,6.9070096,8.648975,9.490304
2023-03-25 17:30:00,46.77396,29.774149,33.60066,38.08998,41.909966,43.931007,44.32139,44.51875,46.57302,46.36198,43.824722,39.359287,37.753647,39.593212,38.897778,39.31007,42.762672,37.738716,36.716526,35.730034,36.453575,36.817986,37.62493,37.682518,35.881702,33.60375,31.745659,30.976736,30.632587,28.313316,23.804028,16.319557,10.669944,5.780167,6.6490755,8.58079,9.487213
2023-03-25 17:45:00,48.543125,29.41999,33.19502,37.527325,41.71901,43.922916,45.00226,44.24538,45.088715,46.342083,43.65427,39.22637,37.268543,38.9967,38.922085,39.647915,43.963196,39.716442,38.85785,38.146667,39.545486,39.9267,40.116894,39.9317,38.218628,36.516407,33.955624,31.972708,31.368263,28.635963,23.031727,17.171528,11.979371,7.5972004,7.601723,8.668741,9.479297
2023-03-25 18:00:00,49.871284,30.415634,34.730244,38.82047,42.722466,45.19389,46.47691,45.02535,45.494583,46.305832,43.96757,40.316425,38.4625,40.32028,41.725765,42.004547,44.932327,40.856945,39.885487,39.54559,40.81337,40.77995,41.250973,40.99875,39.460106,37.573,36.06205,33.509098,30.950851,29.014687,25.053646,19.247057,12.993147,7.9230947,7.2847657,8.616345,9.481354
2023-03-25 18:15:00,51.25927,32.336025,35.363804,39.861423,42.57134,44.923542,45.937675,45.240383,45.47146,47.0042,45.662395,41.80913,39.55113,41.88712,43.209793,42.891563,47.161457,43.034428,41.775867,40.85085,40.81736,40.89771,41.523403,41.357742,39.533333,37.72354,35.99585,34.16283,34.04349,33.871822,30.350199,24.713703,19.86875,10.957509,8.761519,9.963272,9.7123
2023-03-25 18:30:00,46.57771,29.241198,32.960693,37.452118,41.452255,43.896946,45.68264,43.713436,44.493576,46.141148,44.455276,40.49604,38.097534,39.94849,41.165,40.063057,43.389793,39.442257,38.21679,36.96123,36.726597,37.37771,38.082535,38.523438,36.344723,33.808575,31.74717,29.044115,26.181337,26.50513,22.126831,18.325365,13.681142,6.903435,7.00852,8.797239,9.499861
